id,URL,RUN_NAME,STATUS,ISP,RUN_TIME,IP_LOCATION,IP,ISP_SHORT
74,http://hitfile.net,FIRST_RUN,"UNREACHABLE, RequestException",Bharti Airtel Limited,2015-01-03 11:47:45,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
75,http://easybytez.com,FIRST_RUN,"UNREACHABLE, RequestException",Bharti Airtel Limited,2015-01-03 11:39:14,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
76,http://crisshare.com,FIRST_RUN,"UNREACHABLE, RequestException",Bharti Airtel Limited,2015-01-05 14:39:49,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
77,http://vip-file.com,FIRST_RUN,CANT DECIDE,Bharti Airtel Limited,2015-01-05 14:39:51,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
78,http://ufile.eu,FIRST_RUN,CANT DECIDE,Bharti Airtel Limited,2015-01-05 14:39:53,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
79,http://jheberg.net,FIRST_RUN,"UNREACHABLE, RequestException",Bharti Airtel Limited,2015-01-05 14:39:55,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
80,http://dl.free.fr,FIRST_RUN,"UNREACHABLE, RequestException",Bharti Airtel Limited,2015-01-05 14:39:56,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
81,http://2shared.com,FIRST_RUN,CANT DECIDE,Bharti Airtel Limited,2015-01-05 14:40:00,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
82,http://sharebeast.com,FIRST_RUN,"UNREACHABLE, RequestException",Bharti Airtel Limited,2015-01-05 14:40:01,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
83,http://cramit.in,FIRST_RUN,CANT DECIDE,Bharti Airtel Limited,2015-01-05 14:40:04,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
84,http://ryushare.com,FIRST_RUN,,Bharti Airtel Limited,2015-01-05 14:40:06,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
85,http://teluguworld.asia,FIRST_RUN,CANT DECIDE,Bharti Airtel Limited,2015-01-05 14:40:09,"India, Karnataka, Bangalore",106.216.197.16,Airtel4G
